uid,domainID,siteID,namedLocation,startDate,plateauCollectTime,replicateNumber,syringeID,gasSampleID,saltTracerSampleID,remarks,incompleteExperimentQF
"1cbd3825-61bb-4860-859c-851bce32eacf","D17","TECR","TECR.AOS.reaeration.station.02","2019-06-25T16:01Z","2019-06-25T18:52Z",5,"TECR.10.20190625","TECR.10.20190625.GAS","TECR.10.20190625.TCR",,
"1759e813-0aa0-48aa-a784-162796bdbda5","D17","TECR","TECR.AOS.reaeration.station.03","2019-06-25T16:01Z","2019-06-25T18:58Z",3,"TECR.13.20190625","TECR.13.20190625.GAS","TECR.13.20190625.TCR",,
"9f50175a-dd27-4298-bd29-5c36f8140e43","D17","TECR","TECR.AOS.reaeration.station.04","2019-06-25T16:01Z","2019-06-25T19:06Z",2,"TECR.17.20190625","TECR.17.20190625.GAS","TECR.17.20190625.TCR",,
"3becd230-6ced-4c3b-b546-ac26be48b63b","D17","TECR","TECR.AOS.reaeration.station.04","2019-06-25T16:01Z","2019-06-25T19:06Z",5,"TECR.20.20190625","TECR.20.20190625.GAS","TECR.20.20190625.TCR",,
"457bbaf9-295c-409a-be14-b4457aa2df41","D17","TECR","TECR.AOS.reaeration.station.01","2019-06-25T16:01Z","2019-06-25T18:46Z",3,"TECR.03.20190625","TECR.03.20190625.GAS","TECR.03.20190625.TCR",,
"60dc6c6b-e68c-4d6e-8634-c1b1d998fb94","D17","TECR","TECR.AOS.reaeration.station.01","2019-06-25T16:01Z","2019-06-25T18:46Z",1,"TECR.01.20190625","TECR.01.20190625.GAS","TECR.01.20190625.TCR",,
"eb18d490-4901-4630-9306-fa986ac1b08d","D17","TECR","TECR.AOS.reaeration.station.04","2019-06-25T16:01Z","2019-06-25T19:06Z",1,"TECR.16.20190625","TECR.16.20190625.GAS","TECR.16.20190625.TCR",,
"27a8401b-262a-44c3-8bba-13b4e5f1e1d8","D17","TECR","TECR.AOS.reaeration.station.02","2019-06-25T16:01Z","2019-06-25T18:52Z",2,"TECR.07.20190625","TECR.07.20190625.GAS","TECR.07.20190625.TCR",,
"7181400e-1fa4-4d8d-8a2c-2cef70e2db67","D17","TECR","TECR.AOS.reaeration.station.02","2019-06-25T16:01Z","2019-06-25T18:52Z",4,"TECR.09.20190625","TECR.09.20190625.GAS","TECR.09.20190625.TCR",,
"3b89fc01-96a1-4d97-b1b7-fdd26c7a84f9","D17","TECR","TECR.AOS.reaeration.station.03","2019-06-25T16:01Z","2019-06-25T18:58Z",2,"TECR.12.20190625","TECR.12.20190625.GAS","TECR.12.20190625.TCR",,
"5afc05bb-8ea7-4b0d-9b2d-d91e41a1cdcc","D17","TECR","TECR.AOS.reaeration.station.03","2019-06-25T16:01Z","2019-06-25T18:58Z",5,"TECR.15.20190625","TECR.15.20190625.GAS","TECR.15.20190625.TCR",,
"a4ccf193-d35d-467b-9753-62b73849f7fb","D17","TECR","TECR.AOS.reaeration.station.03","2019-06-25T16:01Z","2019-06-25T18:58Z",4,"TECR.14.20190625","TECR.14.20190625.GAS","TECR.14.20190625.TCR",,
"5e5f9fec-8291-49c8-a4ad-1fe9918cbced","D17","TECR","TECR.AOS.reaeration.station.01","2019-06-25T16:01Z","2019-06-25T18:46Z",2,"TECR.02.20190625","TECR.02.20190625.GAS","TECR.02.20190625.TCR",,
"1f23410d-f642-4762-b484-c8d652c20f8a","D17","TECR","TECR.AOS.reaeration.station.04","2019-06-25T16:01Z","2019-06-25T19:06Z",3,"TECR.18.20190625","TECR.18.20190625.GAS","TECR.18.20190625.TCR",,
"8bbfaf28-fd48-4a0b-b095-fea2ee81a32b","D17","TECR","TECR.AOS.reaeration.station.02","2019-06-25T16:01Z","2019-06-25T18:52Z",3,"TECR.08.20190625","TECR.08.20190625.GAS","TECR.08.20190625.TCR",,
"b151896c-4642-4668-a195-80952b771cd5","D17","TECR","TECR.AOS.reaeration.station.04","2019-06-25T16:01Z","2019-06-25T19:06Z",4,"TECR.19.20190625","TECR.19.20190625.GAS","TECR.19.20190625.TCR",,
"81e69cfd-b05a-4af7-9cab-52f7a7cb7ee9","D17","TECR","TECR.AOS.reaeration.station.01","2019-06-25T16:01Z","2019-06-25T18:46Z",5,"TECR.05.20190625","TECR.05.20190625.GAS","TECR.05.20190625.TCR",,
"dcfa7107-b041-4ae2-80fc-ae9df42f8034","D17","TECR","TECR.AOS.reaeration.station.01","2019-06-25T16:01Z","2019-06-25T18:46Z",4,"TECR.04.20190625","TECR.04.20190625.GAS","TECR.04.20190625.TCR",,
"eff240bd-2fb4-4ddb-9a10-e0e9ad9f9a83","D17","TECR","TECR.AOS.reaeration.station.02","2019-06-25T16:01Z","2019-06-25T18:52Z",1,"TECR.06.20190625","TECR.06.20190625.GAS","TECR.06.20190625.TCR",,
"a27c3c20-9c54-489e-9737-70d6088f36a4","D17","TECR","TECR.AOS.reaeration.station.03","2019-06-25T16:01Z","2019-06-25T18:58Z",1,"TECR.11.20190625","TECR.11.20190625.GAS","TECR.11.20190625.TCR",,
